#rank #name #perc #votes
1 nick.eth 0.941016 235254
2 daylon.eth 0.003424 856
3 interplanetarycompany.eth 0.006072 1518
4 coltron.eth 0.00136 340
5 berrios.eth 0.000408 102
6 vote.alisha.eth 0.003932 983
7 serenae.eth 0.012448 3112
8 slobo.eth 0.22422 56055
9 premm.eth 0.003164 791
10 avsa.eth 0.81842 204605
11 brantly.eth 1.341844 335461
12 spikewatanabe.eth 0.12812 32030
13 spencecoin.eth 0.2286 57150
14 irreverent.eth 0.002756 689
15 yodaone.eth 0.000008 2
16 grasponcrypto.eth 0.004552 1138
17 flipsidecrypto.eth 0.008112 2028
18 garypalmerjr.eth 0.067236 16809
19 lefteris.eth 0.837956 209489
20 limes.eth 0.010924 2731
21 natebeck.eth 0.0004 100
22 fireeyesdao.eth 0.635916 158979
23 cottons.eth 0.00202 505
24 cory.eth 1.030248 257562
25 jalil.eth 0.0434 10850
26 ceresstation.eth 0.023968 5992
27 bobjiang.eth 0.010452 2613
28 maaria.eth 0.244352 61088
29 liubenben.eth 0.11414 28535
30 jeff.eth 0.105696 26424
31 superphiz.eth 0.546428 136607
32 griff.eth 0.645812 161453
33 jmj.eth 0.092876 23219
34 jessepollak.eth 0.132284 33071
35 inzhoop.eth 0.191936 47984
36 qjawe.eth 0.004172 1043
37 cemgundogan.eth 0.00066 165
38 universemoney.eth 0.000424 106
39 jeeves.eth 0.005776 1444
40 philh.p2p.eth 0.026744 6686
41 she256.eth 0.673704 168426
42 charchar.eth 0.001448 362
43 mizu.eth 0.003932 983
44 frankun.sismo.eth 0.000976 244
45 tobias.eth 0.032072 8018
46 fateswing.eth 0.0005 125
47 soolnew.eth 0.000008 2
48 sundaeswap.eth 0.000008 2
49 vleeth.eth 0.000008 2
50 gzheth.eth 0.000008 2
51 vlooe.eth 0.000008 2
52 btcddg.eth 0.000008 2
53 gzhcoin.eth 0.000008 2
54 null 0.000768 192
55 tatebulic.eth 0.000796 199
56 null 0.000896 224
57 denet.eth 0.001748 437
58 punk3106.eth 0.000008 2
59 chenwentao.eth 0.000044 11
60 greatwallet.eth 0.000008 2
61 bigmom.sismo.eth 0.000008 2
62 goldenfiredo.eth 0.000012 3
63 btcking.eth 0.00004 10
64 arisac.eth 0.0004 100
65 alicebob.eth 0.000008 2
66 null 0.000008 2
67 wingo.eth 0.000008 2
68 dontbuy.eth 0.000008 2
69 0x8848.eth 0.000008 2
70 aevolve.eth 0.000012 3
71 ethforever.eth 0.000044 11
72 kn00t.eth 0.000836 209
73 tycoon.eth 0.015432 3858
74 scalpel.eth 0.00082 205
75 chainlinkgod.eth 0.5658 141450
76 metaphor.xyz 0.24132 60330
77 rymac.eth 0.000012 3
78 null 0.000188 47
79 leeks.eth 0.000008 2
80 chinakungfu.eth 0.000004 1
81 goodao.eth 0.000196 49
82 dhadrien.sismo.eth 0.232692 58173
83 monetsupply.eth 0.087676 21919
84 experient.eth 0.0012 300
85 rotor.eth 0.023544 5886
86 fluffmachine.eth 0.001204 301
87 minagi.eth 0.002588 647
88 chaoschaos.eth 0 0
89 chainb.eth 0.000008 2
90 yangzuijie.eth 0.000012 3
91 02468.eth 0.000008 2
92 fuckeverything.eth 0.000008 2
93 coa.eth 0.00004 10
94 lincy.eth 0 0
95 cadillion.eth 0.00178 445
96 yjh999.eth 0.000684 171
97 guerrillaart.eth 0.001728 432
98 ap0ll0517.eth 0.000764 191
99 vinuela.eth 0.000528 132
100 mo115.eth 0.000208 52
101 wangling.eth 0.000016 4
102 linch.eth 0.000008 2
103 mantisclone.eth 0.00026 65
104 permanentloss.eth 0.00008 20
105 kblnswya.eth 0.00044 110
106 victor928.eth 0.207256 51814
107 wealth.eth 0.004784 1196
108 obstropolos.eth 0.005044 1261
109 scratch.ricmoo.eth 0.204304 51076
110 coinbase.eth 1.158396 289599
111 simona.eth 0.61966 154915
112 lbjames.eth 0.000156 39
113 poapy.eth 0.000008 2
114 liugang.eth 0.000008 2
115 crocdmo.eth 0.000008 2
116 airyeezy.eth 0.000008 2
117 gitai.eth 0.000008 2
118 gawrgura.eth 0.000008 2
119 enqenx.eth 0 0
120 hodlerhodl.eth 0.000004 1
121 axoncable.eth 0.00048 120
122 ginge.eth 0.000004 1
123 bosco.eth 0.004416 1104
124 0xteaser.eth 0.000524 131
125 cryptovip.eth 0.0032 800
126 widmann.eth 0.00218 545
127 qianduoduo.eth 0.016484 4121
128 oscarmike.eth 0.004332 1083
129 jacobmeyer.eth 0.027652 6913
130 davisshaver.eth 0.001172 293
131 validator.eth 0.001644 411
132 troyston.eth 0.0008 200
133 darrow.eth 0.004008 1002
134 null 0.001872 468
135 trinedy.eth 0.00366 915
136 schuppi.eth 0.008048 2012
137 teju.eth 0.04458 11145
138 alanmumu.eth 0.000004 1
139 highfar.eth 0.000148 37
140 woodfire.eth 0.000004 1
141 circleecho.eth 0.000044 11
142 chao77.eth 0.000008 2
143 zhongwei.eth 0.000012 3
144 968259.eth 0.000004 1
145 vicky77.eth 0.000008 2
146 dadeva.eth 0.00004 10
147 afumi.eth 0.000008 2
148 shaung.eth 0.000008 2
149 gallus.eth 0.000416 104
150 bitnews.eth 0.000876 219
151 ethwise.eth 0.001204 301
152 markmcintosh.eth 0.00136 340
153 trunzo.eth 0.003568 892
154 souluv7.eth 0.000848 212
155 bankløs.eth 0.001296 324
156 deficastle.eth 0.001448 362
157 andreasmueller.eth 0.006188 1547
158 devdao.eth 0.271896 67974
159 16688.eth 0.000004 1
160 nptacek.eth 0.000012 3
161 dryan.eth 0 0
162 fengcc.eth 0.000008 2
163 cachemon.eth 0.000212 53
164 metaro23.eth 0.000232 58
165 cryptofeng.eth 0.000004 1
166 zvsgjc.eth 0.000008 2
167 null 0.000288 72
168 lucky52.eth 0.000008 2
169 camchis.eth 0.006164 1541
170 spacebuddha42.eth 0.009788 2447
171 coinlog.eth 0.000744 186
172 matoken.eth 0.00218 545
173 solanachain.eth 0.000616 154
174 nearcoin.eth 0.00084 210
175 degochain.eth 0.000832 208
176 neiman.eth 0.01276 3190
177 shadowsensi.eth 0.0006 150
178 tueme.eth 0.000896 224
179 rainbowwallet.eth 0.678236 169559
180 avaxcoin.eth 0.000616 154
181 完美的世界.eth 0.000008 2
182 malt001.eth 0.000044 11
183 umeboshi.eth 0.000316 79
184 100168.eth 0.000004 1
185 null 0.000348 87
186 playcheck.eth 0.000008 2
187 babacoin.eth 0.000008 2
188 bburak.eth 0.000024 6
189 我们一起来撸空投啊.eth 0.000008 2
190 genvid.eth 0.000008 2
191 fawadfaiqkhan.eth 0.000004 1
192 w060908.eth 0.000012 3
193 youtu.eth 0.000008 2
194 13335.eth 0.000004 1
195 onefirst.eth 0 0
196 jjjjjaxdeng.eth 0 0
197 lindstrom.eth 0.000368 92
198 coin8.eth 0.000008 2
199 oupay.eth 0.000024 6
200 10099.eth 0 0
201 basve.eth 0.000008 2
202 188188188.eth 0.000008 2
203 hamdi.eth 0.003276 819
204 eliven.eth 0.00112 280
205 abhay.eth 0.000916 229
206 ethtomax.eth 0.00438 1095
207 bitstar.eth 0.001608 402
208 curion.eth 0.002424 606
209 defimap.eth 0.000976 244
210 markpen.eth 0.000856 214
211 yanzhi.eth 0.00042 105
212 namuris.eth 0.001516 379
213 0cool.eth 0.00624 1560
214 intercept.eth 0.0014 350
215 15888.eth 0.000696 174
216 kingway.eth 0.004196 1049
217 othello.eth 0.002696 674
218 zhupp.eth 0.00044 110
219 onelist.eth 0.000412 103
220 leontalbert.eth 0.003972 993
