#index	name.eth			vote-percent	vote-count
1	brantly.eth		5.362		367162
2	coinbase.eth		4.840		331375
3	nick.eth			4.149		284107
4	she256.eth		4.065		278319
5	cory_eth			4.000		273907
6	avsa.eth			3.245		222209
7	lefteris.eth		3.202		219252
8	rainbowwallet.eth	2.986		204457
9	fireeyesdao.eth		2.493		170668
10	mikedemarais.eth		2.418		165575
11	griff.eth		2.417		165522
12	simona.eth		2.342		160346
13	ChainLinkGod		2.197		150455
14	superphiz.eth		1.996		136646
15	imtoken.eth		1.719		117721
16	keikreutler.eth		1.349		92342
17	maaria.eth		0.975		66762
18	devdao.eth		0.913		62496
19	marspunks.eth		0.887		60748
20	metaphor.xyz		0.882		60418
21	dhadrien.sismo.eth	0.878		60144
22	spencecoin.eth		0.871		59663
23	ab.dev			0.841		57586
24	0xc95C...4d3B		0.827		56652
25	AlexSlobodnik		0.803		54952
26	Victor928		0.800		54795
27	tulip.eth		0.758		51893
28	blockchainucla		0.709		48574
29	scratch.ricmoo.eth	0.704		48217
30	inzhoop.eth		0.701		47984
31	0x92Fe...915B		0.685		46897
32	operaens.eth		0.681		46610
33	0x1eeA...a0D2		0.680		46587
34	sea.eth			0.677		46371
35	spikewatanabe		0.525		35951
36	jessepollak.eth		0.476		32611
37	adamscochran.eth		0.459		31425
38	rabbitholegg.eth		0.404		27642
39	liubenben.eth		0.385		26349
40	mabu.eth			0.383		26201
41	technocrypto		0.363		24849
42	chapterone.eth		0.352		24074
43	MonetSupply		0.348		23834
44	mihal.eth		0.319		21858
45	bandit.eth		0.314		21513
46	garypalmerjr.eth		0.304		20834
47	jeffc.eth		0.299		20503
48	harper.eth		0.282		19274
49	0x71C7...976F		0.249		17041
50	0x24E6...15Cd		0.229		15687
