#rank #name #perc #votes
1 disruptionjoe.eth 0.08374 83740
2 yalor.eth 0.263823 263823
3 sirlupinwatson.eth 0.001664 1664
4 bobjiang.eth 0.0097 9700
5 lefteris.eth 0.983335 983335
6 null 0.000002 2
7 kbw.eth 1.05 1050000
8 trueblocks.eth 0.329512 329512
9 simona.eth 1.101544 1101544
10 kris.eth 1.052531 1052531
11 austingriffith.eth 1.784553 1784553
12 lindajxie.eth 1.453791 1453791
13 huxwell.eth 0.001135 1135
14 phutchins.eth 0.00526 5260
15 androolloyd.eth 0.010412 10412
16 coinqt.eth 0.152011 152011
17 liujian.eth 0 0
18 null 0.001954 1954
19 chrismartz.eth 0.001042 1042
20 helloshreyas.eth 0.155991 155991
21 matoken.eth 0.012681 12681
22 traversa.eth 0.00051 510
23 fishbiscuit.eth 0.6065 606500
24 griff.eth 0.327316 327316
25 wgminterface.eth 0.000004 4
26 adamstallard.eth 0.002009 2009
27 biodunayorinde.eth 0.000001 1
28 monetsupply.eth 0.012254 12254
29 null 0.3245 324500
30 andy.thebluebook.eth 0.010609 10609
31 trent.eth 0.821118 821118
32 yunior.eth 0.001196 1196
33 null 0.00056 560
34 null 0.006423 6423
35 aaronsoskin.eth 0.00257 2570
36 adamscochran.eth 0.006859 6859
37 tobyshorin.eth 0.152166 152166
38 null 0.174599 174599
39 null 0.00046 460
40 null 0.00022 220
41 aevolve.eth 0.000003 3
42 null 0 0
43 null 0 0
44 paul2.eth 0.018487 18487
45 kingrf.eth 0.000202 202
46 null 0.000017 17
47 velr.eth 0.000026 26
48 lebronjames23.eth 0.000003 3
49 enqenx.eth 0.000002 2
50 greatwallet.eth 0.000003 3
51 null 0.000003 3
52 alicebob.eth 0.000005 5
53 collinpixley.eth 0.001044 1044
54 daciv.eth 0.000003 3
55 null 0 0
56 null 0 0
57 null 0 0
58 goldenfiredo.eth 0.000011 11
59 ubiex.eth 0.000003 3
60 null 0 0
61 null 0 0
62 null 0 0
63 null 0 0
64 null 0.053594 53594
65 xinyubtc.eth 0.000003 3
66 null 0 0
67 yuopu.eth 0.000003 3
68 null 0 0
69 null 0 0
70 null 0 0
71 null 0 0
72 null 0 0
73 null 0 0
74 null 0 0
75 null 0 0
76 null 0 0
77 null 0.000002 2
78 null 0 0
79 gawrgura.eth 0.000004 4
80 blockchian.eth 0.000003 3
81 btcking.eth 0.000173 173
82 liuchaojin.eth 0.000284 284
83 kunkun.eth 0.000025 25
84 richone.eth 0.000001 1
85 xielaoban.eth 0.000002 2
86 icepy.eth 0.000002 2
87 null 0.000045 45
88 zk.sismo.eth 0.000029 29
89 vicky77.eth 0.000044 44
90 wingo.eth 0 0
91 coincapital.eth 0.000003 3
92 null 0.020173 20173
93 stefneil.eth 0.000004 4
94 null 0.000001 1
95 null 0.000001 1
96 null 0.000001 1
97 longjunjie.eth 0.000002 2
98 null 0.000001 1
99 null 0.000001 1
100 335201.eth 0.000004 4
101 null 0.000002 2
102 philh.p2p.eth 0.024956 24956
103 null 0.000001 1
104 null 0.000088 88
105 ethforever.eth 0.000101 101
106 chenwentao.eth 0.000101 101
107 owlnyl.eth 0.000154 154
108 keaiduo.eth 0.000001 1
109 null 0.000101 101
110 vezir.eth 0.000034 34
111 null 0.000001 1
112 dadababa.eth 0.000116 116
113 amyjung.eth 0.010953 10953
114 null 0.000002 2
115 joanneyuyu.eth 0.000013 13
116 justforfun.eth 0.000061 61
117 null 0.000234 234
118 chainb.eth 0.000004 4
119 null 0.000004 4
120 feivv.eth 0.000011 11
121 lachona.eth 0.000065 65
122 null 0.000004 4
123 coffeefish.eth 0.000006 6
124 activex.eth 0.000004 4
125 zhupp.eth 0.000034 34
126 bigduck.eth 0.000004 4
127 coin8.eth 0.000003 3
128 abraham001.eth 0.000005 5
129 steamcn.eth 0.000004 4
130 vlooe.eth 0.000003 3
131 switchmute.eth 0.000001 1
132 vleeth.eth 0.000003 3
133 meetone.eth 0.000002 2
134 null 0.000003 3
135 zoraos.eth 0.000002 2
136 genvid.eth 0.000002 2
137 cybtry1234.eth 0.000001 1
138 marcinspro.eth 0.000017 17
139 kryptoin.eth 0.000001 1
140 gtcswap.eth 0.000004 4
141 coffeesong.eth 0.000921 921
142 soolnew.eth 0.000003 3
143 null 0.000002 2
